Reading training examples... (65 examples) done
Training set properties: 2399 features, 7 classes
Iter 11: *(NumConst=11, SV=10, CEps=9.7872, QPEps=0.0000)
Iter 12: *(NumConst=12, SV=11, CEps=6.6764, QPEps=1.6646)
Iter 13: .........*(NumConst=13, SV=12, CEps=27.0993, QPEps=1.6080)
Iter 14: *(NumConst=14, SV=12, CEps=13.2916, QPEps=1.8382)
Iter 15: *(NumConst=15, SV=13, CEps=8.2563, QPEps=1.0479)
Iter 16: *(NumConst=16, SV=14, CEps=7.0964, QPEps=1.8786)
Iter 17: *(NumConst=17, SV=15, CEps=5.2912, QPEps=1.7875)
Iter 18: *(NumConst=18, SV=16, CEps=5.2817, QPEps=1.0009)
Iter 19: *(NumConst=19, SV=16, CEps=4.5694, QPEps=1.3162)
Iter 20: *(NumConst=20, SV=17, CEps=2.7829, QPEps=0.8718)
Iter 21: .........*(NumConst=21, SV=18, CEps=11.0442, QPEps=2.1195)
Iter 22: *(NumConst=22, SV=19, CEps=5.6770, QPEps=0.9928)
Iter 23: *(NumConst=23, SV=20, CEps=5.1442, QPEps=1.5875)
Iter 24: *(NumConst=24, SV=21, CEps=4.2575, QPEps=1.5478)
Iter 25: *(NumConst=25, SV=22, CEps=3.3999, QPEps=1.3767)
Iter 26: *(NumConst=26, SV=23, CEps=3.0508, QPEps=1.1067)
Iter 27: *(NumConst=27, SV=24, CEps=2.5158, QPEps=1.0376)
Iter 28: *(NumConst=28, SV=25, CEps=2.2997, QPEps=0.8703)
Iter 29: *(NumConst=29, SV=26, CEps=2.6295, QPEps=1.0012)
Iter 30: *(NumConst=30, SV=27, CEps=2.0572, QPEps=0.6778)
Iter 31: *(NumConst=31, SV=28, CEps=2.2817, QPEps=0.8443)
Iter 32: *(NumConst=32, SV=29, CEps=1.8022, QPEps=0.7938)
Iter 33: *(NumConst=33, SV=30, CEps=2.1607, QPEps=0.4473)
Iter 34: *(NumConst=34, SV=31, CEps=2.6660, QPEps=0.8168)
Iter 35: *(NumConst=35, SV=31, CEps=1.8399, QPEps=0.6896)
Iter 36: *(NumConst=36, SV=32, CEps=2.1055, QPEps=0.4790)
Iter 37: *(NumConst=37, SV=33, CEps=1.8384, QPEps=0.5646)
Iter 38: *(NumConst=38, SV=34, CEps=1.4202, QPEps=0.4986)
Iter 39: *(NumConst=39, SV=35, CEps=1.6120, QPEps=0.5815)
Iter 40: *(NumConst=40, SV=36, CEps=1.4294, QPEps=0.6377)
Iter 41: *(NumConst=41, SV=37, CEps=1.1085, QPEps=0.4960)
Iter 42: *(NumConst=42, SV=38, CEps=1.5918, QPEps=0.4440)
Iter 43: *(NumConst=43, SV=38, CEps=1.9647, QPEps=0.4168)
Iter 44: *(NumConst=44, SV=39, CEps=1.7490, QPEps=0.4093)
Iter 45: *(NumConst=45, SV=40, CEps=1.4084, QPEps=0.5181)
Iter 46: *(NumConst=46, SV=41, CEps=1.1235, QPEps=0.3186)
Iter 47: *(NumConst=47, SV=42, CEps=1.3123, QPEps=0.3482)
Iter 48: *(NumConst=48, SV=43, CEps=1.2912, QPEps=0.5293)
Iter 49: .........*(NumConst=49, SV=44, CEps=5.7224, QPEps=1.8579)
Iter 50: *(NumConst=50, SV=45, CEps=3.2888, QPEps=1.2762)
Iter 51: *(NumConst=51, SV=46, CEps=2.6519, QPEps=1.1683)
Iter 52: *(NumConst=52, SV=47, CEps=1.7950, QPEps=0.8764)
Iter 53: *(NumConst=53, SV=48, CEps=1.4979, QPEps=0.6287)
Iter 54: *(NumConst=53, SV=49, CEps=1.4879, QPEps=0.6302)
Iter 55: *(NumConst=54, SV=50, CEps=1.1044, QPEps=0.4993)
Iter 56: *(NumConst=55, SV=51, CEps=1.0605, QPEps=0.5164)
Iter 57: *(NumConst=56, SV=52, CEps=1.2886, QPEps=0.5167)
Iter 58: *(NumConst=57, SV=53, CEps=0.8929, QPEps=0.4212)
Iter 59: *(NumConst=58, SV=54, CEps=0.9587, QPEps=0.4068)
Iter 60: *(NumConst=59, SV=55, CEps=0.8048, QPEps=0.3262)
Iter 61: *(NumConst=60, SV=56, CEps=0.6261, QPEps=0.3100)
Iter 62: *(NumConst=61, SV=57, CEps=1.0735, QPEps=0.2871)
Iter 63: *(NumConst=61, SV=58, CEps=0.6758, QPEps=0.2707)
Iter 64: *(NumConst=62, SV=59, CEps=0.6116, QPEps=0.2427)
Iter 65: *(NumConst=63, SV=60, CEps=0.5920, QPEps=0.2317)
Iter 66: .........*(NumConst=64, SV=61, CEps=2.3841, QPEps=0.9020)
Iter 67: *(NumConst=65, SV=62, CEps=1.4389, QPEps=0.6754)
Iter 68: *(NumConst=65, SV=63, CEps=1.4053, QPEps=0.6811)
Iter 69: *(NumConst=66, SV=64, CEps=1.0408, QPEps=0.4898)
Iter 70: *(NumConst=67, SV=65, CEps=0.8974, QPEps=0.4443)
Iter 71: *(NumConst=68, SV=66, CEps=0.9466, QPEps=0.3910)
Iter 72: *(NumConst=69, SV=66, CEps=0.7402, QPEps=0.3511)
Iter 73: *(NumConst=70, SV=67, CEps=0.6767, QPEps=0.3183)
Iter 74: *(NumConst=71, SV=68, CEps=0.8156, QPEps=0.3024)
Iter 75: *(NumConst=72, SV=69, CEps=0.5480, QPEps=0.2556)
Iter 76: *(NumConst=73, SV=70, CEps=0.6913, QPEps=0.2565)
Iter 77: *(NumConst=74, SV=71, CEps=0.5791, QPEps=0.2233)
Iter 78: *(NumConst=75, SV=72, CEps=0.5673, QPEps=0.2445)
Iter 79: *(NumConst=76, SV=71, CEps=0.4304, QPEps=0.2045)
Iter 80: *(NumConst=77, SV=72, CEps=0.7119, QPEps=0.1611)
Iter 81: *(NumConst=78, SV=73, CEps=0.4684, QPEps=0.2062)
Iter 82: *(NumConst=79, SV=73, CEps=0.5944, QPEps=0.1911)
Iter 83: *(NumConst=80, SV=74, CEps=0.4431, QPEps=0.2011)
Iter 84: *(NumConst=80, SV=75, CEps=0.4355, QPEps=0.1707)
Iter 85: *(NumConst=81, SV=76, CEps=0.3814, QPEps=0.1696)
Iter 86: *(NumConst=82, SV=77, CEps=0.4588, QPEps=0.1532)
Iter 87: *(NumConst=83, SV=78, CEps=0.3049, QPEps=0.1402)
Iter 88: *(NumConst=84, SV=79, CEps=0.3985, QPEps=0.1455)
Iter 89: *(NumConst=85, SV=80, CEps=0.3887, QPEps=0.1408)
Iter 90: *(NumConst=86, SV=81, CEps=0.3756, QPEps=0.1399)
Iter 91: *(NumConst=87, SV=82, CEps=0.3520, QPEps=0.1519)
Iter 92: *(NumConst=87, SV=83, CEps=0.3236, QPEps=0.1321)
Iter 93: *(NumConst=88, SV=84, CEps=0.3928, QPEps=0.1364)
Iter 94: *(NumConst=89, SV=85, CEps=0.5555, QPEps=0.1506)
Iter 95: *(NumConst=90, SV=85, CEps=0.3343, QPEps=0.1504)
Iter 96: *(NumConst=91, SV=86, CEps=0.2577, QPEps=0.1170)
Iter 97: *(NumConst=92, SV=86, CEps=0.2625, QPEps=0.1189)
Iter 98: *(NumConst=93, SV=87, CEps=0.3385, QPEps=0.1229)
Iter 99: *(NumConst=94, SV=88, CEps=0.3609, QPEps=0.0954)
Iter 100: *(NumConst=95, SV=89, CEps=0.2981, QPEps=0.1185)
Iter 101: *(NumConst=96, SV=90, CEps=0.2443, QPEps=0.1096)
Iter 102: .........*(NumConst=97, SV=91, CEps=1.7383, QPEps=0.5639)
Iter 103: *(NumConst=98, SV=92, CEps=1.0976, QPEps=0.4258)
Iter 104: *(NumConst=99, SV=93, CEps=1.1728, QPEps=0.5306)
Iter 105: *(NumConst=100, SV=94, CEps=0.7528, QPEps=0.3656)
Iter 106: *(NumConst=101, SV=95, CEps=0.6769, QPEps=0.3072)
Iter 107: *(NumConst=102, SV=96, CEps=0.7127, QPEps=0.3337)
Iter 108: *(NumConst=103, SV=96, CEps=0.4261, QPEps=0.1660)
Iter 109: *(NumConst=104, SV=96, CEps=0.4559, QPEps=0.2089)
Iter 110: *(NumConst=105, SV=97, CEps=0.4444, QPEps=0.1800)
Iter 111: *(NumConst=106, SV=97, CEps=0.2848, QPEps=0.1192)
Iter 112: *(NumConst=107, SV=98, CEps=0.2703, QPEps=0.1185)
Iter 113: *(NumConst=108, SV=100, CEps=0.3312, QPEps=0.1340)
Iter 114: *(NumConst=109, SV=101, CEps=0.3570, QPEps=0.1147)
Iter 115: *(NumConst=110, SV=102, CEps=0.2487, QPEps=0.1229)
Iter 116: *(NumConst=111, SV=102, CEps=0.2445, QPEps=0.1205)
Iter 117: *(NumConst=112, SV=103, CEps=0.2971, QPEps=0.1202)
Iter 118: *(NumConst=113, SV=104, CEps=0.1871, QPEps=0.0925)
Iter 119: *(NumConst=114, SV=105, CEps=0.2295, QPEps=0.0901)
Iter 120: *(NumConst=115, SV=106, CEps=0.2948, QPEps=0.0852)
Iter 121: *(NumConst=116, SV=106, CEps=0.1748, QPEps=0.0830)
Iter 122: *(NumConst=117, SV=107, CEps=0.2135, QPEps=0.0770)
Iter 123: *(NumConst=118, SV=108, CEps=0.1774, QPEps=0.0672)
Iter 124: .........*(NumConst=119, SV=109, CEps=0.6753, QPEps=0.1616)
Iter 125: *(NumConst=120, SV=110, CEps=0.4483, QPEps=0.1851)
Iter 126: *(NumConst=121, SV=111, CEps=0.3267, QPEps=0.1334)
Iter 127: *(NumConst=122, SV=112, CEps=0.3338, QPEps=0.1565)
Iter 128: *(NumConst=121, SV=113, CEps=0.1805, QPEps=0.0876)
Iter 129: *(NumConst=122, SV=114, CEps=0.2883, QPEps=0.0902)
Iter 130: *(NumConst=123, SV=115, CEps=0.2503, QPEps=0.0889)
Iter 131: *(NumConst=123, SV=115, CEps=0.2098, QPEps=0.0892)
Iter 132: *(NumConst=124, SV=116, CEps=0.2213, QPEps=0.0795)
Iter 133: *(NumConst=125, SV=117, CEps=0.2118, QPEps=0.0866)
Iter 134: *(NumConst=126, SV=117, CEps=0.1539, QPEps=0.0713)
Iter 135: *(NumConst=127, SV=118, CEps=0.1843, QPEps=0.0685)
Iter 136: *(NumConst=128, SV=119, CEps=0.1639, QPEps=0.0757)
Iter 137: *(NumConst=129, SV=119, CEps=0.1319, QPEps=0.0575)
Iter 138: *(NumConst=130, SV=120, CEps=0.2388, QPEps=0.0604)
Iter 139: *(NumConst=131, SV=121, CEps=0.1480, QPEps=0.0593)
Iter 140: *(NumConst=132, SV=121, CEps=0.1249, QPEps=0.0595)
Iter 141: *(NumConst=133, SV=122, CEps=0.1423, QPEps=0.0559)
Iter 142: *(NumConst=134, SV=123, CEps=0.1273, QPEps=0.0605)
Iter 143: *(NumConst=135, SV=123, CEps=0.1306, QPEps=0.0603)
Iter 144: *(NumConst=135, SV=124, CEps=0.1550, QPEps=0.0555)
Iter 145: *(NumConst=136, SV=125, CEps=0.1255, QPEps=0.0615)
Iter 146: *(NumConst=136, SV=126, CEps=0.1478, QPEps=0.0584)
Iter 147: *(NumConst=137, SV=127, CEps=0.1229, QPEps=0.0602)
Iter 148: *(NumConst=138, SV=128, CEps=0.1273, QPEps=0.0568)
Iter 149: *(NumConst=139, SV=129, CEps=0.1430, QPEps=0.0577)
Iter 150: .........*(NumConst=140, SV=130, CEps=0.3689, QPEps=0.1216)
Iter 151: *(NumConst=141, SV=131, CEps=0.2264, QPEps=0.0906)
Iter 152: *(NumConst=142, SV=132, CEps=0.1851, QPEps=0.0841)
Iter 153: *(NumConst=143, SV=133, CEps=0.1977, QPEps=0.0836)
Iter 154: *(NumConst=144, SV=134, CEps=0.1422, QPEps=0.0629)
Iter 155: *(NumConst=145, SV=135, CEps=0.1231, QPEps=0.0606)
Iter 156: *(NumConst=146, SV=136, CEps=0.1468, QPEps=0.0537)
Iter 157: *(NumConst=146, SV=136, CEps=0.1366, QPEps=0.0576)
Iter 158: *(NumConst=146, SV=137, CEps=0.1434, QPEps=0.0558)
Iter 159: .........*(NumConst=147, SV=138, CEps=0.1172, QPEps=0.0583)
Iter 160: *(NumConst=147, SV=139, CEps=0.1088, QPEps=0.0539)
Iter 161: *(NumConst=148, SV=140, CEps=0.1166, QPEps=0.0482)
Iter 162: *(NumConst=149, SV=141, CEps=0.1131, QPEps=0.0515)
Iter 163: .........(NumConst=149, SV=141, CEps=0.0955, QPEps=0.0515)
Final epsilon on KKT-Conditions: 0.09553
Upper bound on duality gap: 491.60235
Dual objective value: dval=35676.98987
Primal objective value: pval=36168.59222
Total number of constraints in final working set: 149 (of 162)
Number of iterations: 163
Number of calls to 'find_most_violated_constraint': 780
Number of SV: 141 
Norm of weight vector: |w|=267.17397
Value of slack variable (on working set): xi=0.02669
Value of slack variable (global): xi=0.09553
Norm of longest difference vector: ||Psi(x,y)-Psi(x,ybar)||=0.81958
Runtime in cpu-seconds: 0.10
Final number of constraints in cache: 318
Compacting linear model...done
Writing learned model...done
Reading training examples... (65 examples) done
Training set properties: 2399 features, 7 classes
Iter 1: .........*(NumConst=1, SV=1, CEps=100.0000, QPEps=0.0000)
Iter 2: *(NumConst=2, SV=2, CEps=36.2443, QPEps=0.0000)
Iter 3: *(NumConst=3, SV=3, CEps=24.5559, QPEps=0.0000)
Iter 4: .........*(NumConst=4, SV=4, CEps=96.0671, QPEps=0.0000)
Iter 5: *(NumConst=5, SV=4, CEps=23.1934, QPEps=0.0000)
Iter 6: *(NumConst=6, SV=5, CEps=16.0068, QPEps=0.0000)
Iter 7: .........*(NumConst=7, SV=6, CEps=53.5560, QPEps=0.0000)
Iter 8: *(NumConst=8, SV=7, CEps=26.2536, QPEps=0.0000)
Iter 9: *(NumConst=9, SV=8, CEps=17.8143, QPEps=0.0000)
Iter 10: *(NumConst=10, SV=9, CEps=12.7617, QPEps=0.0000)
Iter 11: *(NumConst=11, SV=10, CEps=9.7872, QPEps=0.0000)
Iter 12: *(NumConst=12, SV=11, CEps=6.6764, QPEps=1.6646)
Iter 13: .........*(NumConst=13, SV=12, CEps=27.0993, QPEps=1.6080)
Iter 14: *(NumConst=14, SV=12, CEps=13.2916, QPEps=1.8382)
Iter 15: *(NumConst=15, SV=13, CEps=8.2563, QPEps=1.0479)
Iter 16: *(NumConst=16, SV=14, CEps=7.0964, QPEps=1.8786)
Iter 17: *(NumConst=17, SV=15, CEps=5.2912, QPEps=1.7875)
Iter 18: *(NumConst=18, SV=16, CEps=5.2817, QPEps=1.0009)
Iter 19: *(NumConst=19, SV=16, CEps=4.5694, QPEps=1.3162)
Iter 20: *(NumConst=20, SV=17, CEps=2.7829, QPEps=0.8718)
Iter 21: .........*(NumConst=21, SV=18, CEps=11.0442, QPEps=2.1195)
Iter 22: *(NumConst=22, SV=19, CEps=5.6770, QPEps=0.9928)
Iter 23: *(NumConst=23, SV=20, CEps=5.1442, QPEps=1.5875)
Iter 24: *(NumConst=24, SV=21, CEps=4.2575, QPEps=1.5478)
Iter 25: *(NumConst=25, SV=22, CEps=3.3999, QPEps=1.3767)
Iter 26: *(NumConst=26, SV=23, CEps=3.0508, QPEps=1.1067)
Iter 27: *(NumConst=27, SV=24, CEps=2.5158, QPEps=1.0376)
Iter 28: *(NumConst=28, SV=25, CEps=2.2997, QPEps=0.8703)
Iter 29: *(NumConst=29, SV=26, CEps=2.6295, QPEps=1.0012)
Iter 30: *(NumConst=30, SV=27, CEps=2.0572, QPEps=0.6778)
Iter 31: *(NumConst=31, SV=28, CEps=2.2817, QPEps=0.8443)
Iter 32: *(NumConst=32, SV=29, CEps=1.8022, QPEps=0.7938)
Iter 33: *(NumConst=33, SV=30, CEps=2.1607, QPEps=0.4473)
Iter 34: *(NumConst=34, SV=31, CEps=2.6660, QPEps=0.8168)
Iter 35: *(NumConst=35, SV=31, CEps=1.8399, QPEps=0.6896)
Iter 36: *(NumConst=36, SV=32, CEps=2.1055, QPEps=0.4790)
Iter 37: *(NumConst=37, SV=33, CEps=1.8384, QPEps=0.5646)
Iter 38: *(NumConst=38, SV=34, CEps=1.4202, QPEps=0.4986)
Iter 39: *(NumConst=39, SV=35, CEps=1.6120, QPEps=0.5815)
Iter 40: *(NumConst=40, SV=36, CEps=1.4294, QPEps=0.6377)
Iter 41: *(NumConst=41, SV=37, CEps=1.1085, QPEps=0.4960)
Iter 42: *(NumConst=42, SV=38, CEps=1.5918, QPEps=0.4440)
Iter 43: *(NumConst=43, SV=38, CEps=1.9647, QPEps=0.4168)
Iter 44: *(NumConst=44, SV=39, CEps=1.7490, QPEps=0.4093)
Iter 45: *(NumConst=45, SV=40, CEps=1.4084, QPEps=0.5181)
Iter 46: *(NumConst=46, SV=41, CEps=1.1235, QPEps=0.3186)
Iter 47: *(NumConst=47, SV=42, CEps=1.3123, QPEps=0.3482)
Iter 48: *(NumConst=48, SV=43, CEps=1.2912, QPEps=0.5293)
Iter 49: .........*(NumConst=49, SV=44, CEps=5.7224, QPEps=1.8579)
Iter 50: *(NumConst=50, SV=45, CEps=3.2888, QPEps=1.2762)
Iter 51: *(NumConst=51, SV=46, CEps=2.6519, QPEps=1.1683)
Iter 52: *(NumConst=52, SV=47, CEps=1.7950, QPEps=0.8764)
Iter 53: *(NumConst=53, SV=48, CEps=1.4979, QPEps=0.6287)
Iter 54: *(NumConst=53, SV=49, CEps=1.4879, QPEps=0.6302)
Iter 55: *(NumConst=54, SV=50, CEps=1.1044, QPEps=0.4993)
Iter 56: *(NumConst=55, SV=51, CEps=1.0605, QPEps=0.5164)
Iter 57: *(NumConst=56, SV=52, CEps=1.2886, QPEps=0.5167)
Iter 58: *(NumConst=57, SV=53, CEps=0.8929, QPEps=0.4212)
Iter 59: *(NumConst=58, SV=54, CEps=0.9587, QPEps=0.4068)
Iter 60: *(NumConst=59, SV=55, CEps=0.8048, QPEps=0.3262)
Iter 61: *(NumConst=60, SV=56, CEps=0.6261, QPEps=0.3100)
Iter 62: *(NumConst=61, SV=57, CEps=1.0735, QPEps=0.2871)
Iter 63: *(NumConst=61, SV=58, CEps=0.6758, QPEps=0.2707)
Iter 64: *(NumConst=62, SV=59, CEps=0.6116, QPEps=0.2427)
Iter 65: *(NumConst=63, SV=60, CEps=0.5920, QPEps=0.2317)
Iter 66: .........*(NumConst=64, SV=61, CEps=2.3841, QPEps=0.9020)
Iter 67: *(NumConst=65, SV=62, CEps=1.4389, QPEps=0.6754)
Iter 68: *(NumConst=65, SV=63, CEps=1.4053, QPEps=0.6811)
Iter 69: *(NumConst=66, SV=64, CEps=1.0408, QPEps=0.4898)
Iter 70: *(NumConst=67, SV=65, CEps=0.8974, QPEps=0.4443)
Iter 71: *(NumConst=68, SV=66, CEps=0.9466, QPEps=0.3910)
Iter 72: *(NumConst=69, SV=66, CEps=0.7402, QPEps=0.3511)
Iter 73: *(NumConst=70, SV=67, CEps=0.6767, QPEps=0.3183)
Iter 74: *(NumConst=71, SV=68, CEps=0.8156, QPEps=0.3024)
Iter 75: *(NumConst=72, SV=69, CEps=0.5480, QPEps=0.2556)
Iter 76: *(NumConst=73, SV=70, CEps=0.6913, QPEps=0.2565)
Iter 77: *(NumConst=74, SV=71, CEps=0.5791, QPEps=0.2233)
Iter 78: *(NumConst=75, SV=72, CEps=0.5673, QPEps=0.2445)
Iter 79: *(NumConst=76, SV=71, CEps=0.4304, QPEps=0.2045)
Iter 80: *(NumConst=77, SV=72, CEps=0.7119, QPEps=0.1611)
Iter 81: *(NumConst=78, SV=73, CEps=0.4684, QPEps=0.2062)
Iter 82: *(NumConst=79, SV=73, CEps=0.5944, QPEps=0.1911)
Iter 83: *(NumConst=80, SV=74, CEps=0.4431, QPEps=0.2011)
Iter 84: *(NumConst=80, SV=75, CEps=0.4355, QPEps=0.1707)
Iter 85: *(NumConst=81, SV=76, CEps=0.3814, QPEps=0.1696)
Iter 86: *(NumConst=82, SV=77, CEps=0.4588, QPEps=0.1532)
Iter 87: *(NumConst=83, SV=78, CEps=0.3049, QPEps=0.1402)
Iter 88: *(NumConst=84, SV=79, CEps=0.3985, QPEps=0.1455)
Iter 89: *(NumConst=85, SV=80, CEps=0.3887, QPEps=0.1408)
Iter 90: *(NumConst=86, SV=81, CEps=0.3756, QPEps=0.1399)
Iter 91: *(NumConst=87, SV=82, CEps=0.3520, QPEps=0.1519)
Iter 92: *(NumConst=87, SV=83, CEps=0.3236, QPEps=0.1321)
Iter 93: *(NumConst=88, SV=84, CEps=0.3928, QPEps=0.1364)
Iter 94: *(NumConst=89, SV=85, CEps=0.5555, QPEps=0.1506)
Iter 95: *(NumConst=90, SV=85, CEps=0.3343, QPEps=0.1504)
Iter 96: *(NumConst=91, SV=86, CEps=0.2577, QPEps=0.1170)
Iter 97: *(NumConst=92, SV=86, CEps=0.2625, QPEps=0.1189)
Iter 98: *(NumConst=93, SV=87, CEps=0.3385, QPEps=0.1229)
Iter 99: *(NumConst=94, SV=88, CEps=0.3609, QPEps=0.0954)
Iter 100: *(NumConst=95, SV=89, CEps=0.2981, QPEps=0.1185)
Iter 101: *(NumConst=96, SV=90, CEps=0.2443, QPEps=0.1096)
Iter 102: .........*(NumConst=97, SV=91, CEps=1.7383, QPEps=0.5639)
Iter 103: *(NumConst=98, SV=92, CEps=1.0976, QPEps=0.4258)
Iter 104: *(NumConst=99, SV=93, CEps=1.1728, QPEps=0.5306)
Iter 105: *(NumConst=100, SV=94, CEps=0.7528, QPEps=0.3656)
Iter 106: *(NumConst=101, SV=95, CEps=0.6769, QPEps=0.3072)
Iter 107: *(NumConst=102, SV=96, CEps=0.7127, QPEps=0.3337)
Iter 108: *(NumConst=103, SV=96, CEps=0.4261, QPEps=0.1660)
Iter 109: *(NumConst=104, SV=96, CEps=0.4559, QPEps=0.2089)
Iter 110: *(NumConst=105, SV=97, CEps=0.4444, QPEps=0.1800)
Iter 111: *(NumConst=106, SV=97, CEps=0.2848, QPEps=0.1192)
Iter 112: *(NumConst=107, SV=98, CEps=0.2703, QPEps=0.1185)
Iter 113: *(NumConst=108, SV=100, CEps=0.3312, QPEps=0.1340)
Iter 114: *(NumConst=109, SV=101, CEps=0.3570, QPEps=0.1147)
Iter 115: *(NumConst=110, SV=102, CEps=0.2487, QPEps=0.1229)
Iter 116: *(NumConst=111, SV=102, CEps=0.2445, QPEps=0.1205)
Iter 117: *(NumConst=112, SV=103, CEps=0.2971, QPEps=0.1202)
Iter 118: *(NumConst=113, SV=104, CEps=0.1871, QPEps=0.0925)
Iter 119: *(NumConst=114, SV=105, CEps=0.2295, QPEps=0.0901)
Iter 120: *(NumConst=115, SV=106, CEps=0.2948, QPEps=0.0852)
Iter 121: *(NumConst=116, SV=106, CEps=0.1748, QPEps=0.0830)
Iter 122: *(NumConst=117, SV=107, CEps=0.2135, QPEps=0.0770)
Iter 123: *(NumConst=118, SV=108, CEps=0.1774, QPEps=0.0672)
Iter 124: .........*(NumConst=119, SV=109, CEps=0.6753, QPEps=0.1616)
Iter 125: *(NumConst=120, SV=110, CEps=0.4483, QPEps=0.1851)
Iter 126: *(NumConst=121, SV=111, CEps=0.3267, QPEps=0.1334)
Iter 127: *(NumConst=122, SV=112, CEps=0.3338, QPEps=0.1565)
Iter 128: *(NumConst=121, SV=113, CEps=0.1805, QPEps=0.0876)
Iter 129: *(NumConst=122, SV=114, CEps=0.2883, QPEps=0.0902)
Iter 130: *(NumConst=123, SV=115, CEps=0.2503, QPEps=0.0889)
Iter 131: *(NumConst=123, SV=115, CEps=0.2098, QPEps=0.0892)
Iter 132: *(NumConst=124, SV=116, CEps=0.2213, QPEps=0.0795)
Iter 133: *(NumConst=125, SV=117, CEps=0.2118, QPEps=0.0866)
Iter 134: *(NumConst=126, SV=117, CEps=0.1539, QPEps=0.0713)
Iter 135: *(NumConst=127, SV=118, CEps=0.1843, QPEps=0.0685)
Iter 136: *(NumConst=128, SV=119, CEps=0.1639, QPEps=0.0757)
Iter 137: *(NumConst=129, SV=119, CEps=0.1319, QPEps=0.0575)
Iter 138: *(NumConst=130, SV=120, CEps=0.2388, QPEps=0.0604)
Iter 139: *(NumConst=131, SV=121, CEps=0.1480, QPEps=0.0593)
Iter 140: *(NumConst=132, SV=121, CEps=0.1249, QPEps=0.0595)
Iter 141: *(NumConst=133, SV=122, CEps=0.1423, QPEps=0.0559)
Iter 142: *(NumConst=134, SV=123, CEps=0.1273, QPEps=0.0605)
Iter 143: *(NumConst=135, SV=123, CEps=0.1306, QPEps=0.0603)
Iter 144: *(NumConst=135, SV=124, CEps=0.1550, QPEps=0.0555)
Iter 145: *(NumConst=136, SV=125, CEps=0.1255, QPEps=0.0615)
Iter 146: *(NumConst=136, SV=126, CEps=0.1478, QPEps=0.0584)
Iter 147: *(NumConst=137, SV=127, CEps=0.1229, QPEps=0.0602)
Iter 148: *(NumConst=138, SV=128, CEps=0.1273, QPEps=0.0568)
Iter 149: *(NumConst=139, SV=129, CEps=0.1430, QPEps=0.0577)
Iter 150: .........*(NumConst=140, SV=130, CEps=0.3689, QPEps=0.1216)
Iter 151: *(NumConst=141, SV=131, CEps=0.2264, QPEps=0.0906)
Iter 152: *(NumConst=142, SV=132, CEps=0.1851, QPEps=0.0841)
Iter 153: *(NumConst=143, SV=133, CEps=0.1977, QPEps=0.0836)
Iter 154: *(NumConst=144, SV=134, CEps=0.1422, QPEps=0.0629)
Iter 155: *(NumConst=145, SV=135, CEps=0.1231, QPEps=0.0606)
Iter 156: *(NumConst=146, SV=136, CEps=0.1468, QPEps=0.0537)
Iter 157: *(NumConst=146, SV=136, CEps=0.1366, QPEps=0.0576)
Iter 158: *(NumConst=146, SV=137, CEps=0.1434, QPEps=0.0558)
Iter 159: .........*(NumConst=147, SV=138, CEps=0.1172, QPEps=0.0583)
Iter 160: *(NumConst=147, SV=139, CEps=0.1088, QPEps=0.0539)
Iter 161: *(NumConst=148, SV=140, CEps=0.1166, QPEps=0.0482)
Iter 162: *(NumConst=149, SV=141, CEps=0.1131, QPEps=0.0515)
Iter 163: .........(NumConst=149, SV=141, CEps=0.0955, QPEps=0.0515)
Final epsilon on KKT-Conditions: 0.09553
Upper bound on duality gap: 491.60235
Dual objective value: dval=35676.98987
Primal objective value: pval=36168.59222
Total number of constraints in final working set: 149 (of 162)
Number of iterations: 163
Number of calls to 'find_most_violated_constraint': 780
Number of SV: 141 
Norm of weight vector: |w|=267.17397
Value of slack variable (on working set): xi=0.02669
Value of slack variable (global): xi=0.09553
Norm of longest difference vector: ||Psi(x,y)-Psi(x,ybar)||=0.81958
Runtime in cpu-seconds: 0.09
Final number of constraints in cache: 318
Compacting linear model...done
Writing learned model...done
Reading training examples... (65 examples) done
Training set properties: 2399 features, 7 classes
Iter 1: .........*(NumConst=1, SV=1, CEps=100.0000, QPEps=0.0000)
Iter 2: *(NumConst=2, SV=2, CEps=36.2443, QPEps=0.0000)
Iter 3: *(NumConst=3, SV=3, CEps=24.5559, QPEps=0.0000)
Iter 4: .........*(NumConst=4, SV=4, CEps=96.0671, QPEps=0.0000)
Iter 5: *(NumConst=5, SV=4, CEps=23.1934, QPEps=0.0000)
Iter 6: *(NumConst=6, SV=5, CEps=16.0068, QPEps=0.0000)
Iter 7: .........*(NumConst=7, SV=6, CEps=53.5560, QPEps=0.0000)
Iter 8: *(NumConst=8, SV=7, CEps=26.2536, QPEps=0.0000)
Iter 9: *(NumConst=9, SV=8, CEps=17.8143, QPEps=0.0000)
Iter 10: *(NumConst=10, SV=9, CEps=12.7617, QPEps=0.0000)
Iter 11: *(NumConst=11, SV=10, CEps=9.7872, QPEps=0.0000)
Iter 12: *(NumConst=12, SV=11, CEps=6.6764, QPEps=1.6646)
Iter 13: .........*(NumConst=13, SV=12, CEps=27.0993, QPEps=1.6080)
Iter 14: *(NumConst=14, SV=12, CEps=13.2916, QPEps=1.8382)
Iter 15: *(NumConst=15, SV=13, CEps=8.2563, QPEps=1.0479)
Iter 16: *(NumConst=16, SV=14, CEps=7.0964, QPEps=1.8786)
