2:1.0 6:0.5 4:0.333333333333 7:0.25 3:0.2 8:0.166666666667 1:0.142857142857 5:0.125
3:1.0 6:0.5 4:0.333333333333 8:0.25 7:0.2 5:0.166666666667 2:0.142857142857 1:0.125
4:1.0 6:0.5 7:0.333333333333 2:0.25 8:0.2 5:0.166666666667 3:0.142857142857 1:0.125
7:1.0 4:0.5 6:0.333333333333 8:0.25 2:0.2 5:0.166666666667 3:0.142857142857 1:0.125
6:1.0 4:0.5 2:0.333333333333 1:0.25 5:0.2 7:0.166666666667 8:0.142857142857 3:0.125
4:1.0 6:0.5 5:0.333333333333 7:0.25 1:0.2 2:0.166666666667 3:0.142857142857 8:0.125
8:1.0 5:0.5 6:0.333333333333 4:0.25 2:0.2 3:0.166666666667 1:0.142857142857 7:0.125
5:1.0 7:0.5 2:0.333333333333 8:0.25 4:0.2 6:0.166666666667 1:0.142857142857 3:0.125
7:1.0 6:0.5 4:0.333333333333 3:0.25 2:0.2 1:0.166666666667 8:0.142857142857 5:0.125
2:1.0 4:0.5 6:0.333333333333 7:0.25 5:0.2 3:0.166666666667 1:0.142857142857 8:0.125
3:1.0 5:0.5 4:0.333333333333 6:0.25 7:0.2 8:0.166666666667 1:0.142857142857 2:0.125
2:1.0 8:0.5 4:0.333333333333 6:0.25 7:0.2 3:0.166666666667 5:0.142857142857 1:0.125
1:1.0 4:0.5 6:0.333333333333 8:0.25 2:0.2 3:0.166666666667 7:0.142857142857 5:0.125
5:1.0 2:0.5 3:0.333333333333 4:0.25 6:0.2 7:0.166666666667 1:0.142857142857 8:0.125
6:1.0 4:0.5 2:0.333333333333 3:0.25 5:0.2 8:0.166666666667 1:0.142857142857 7:0.125
7:1.0 4:0.5 6:0.333333333333 2:0.25 8:0.2 1:0.166666666667 3:0.142857142857 5:0.125
4:1.0 6:0.5 7:0.333333333333 2:0.25 5:0.2 1:0.166666666667 8:0.142857142857 3:0.125
7:1.0 6:0.5 4:0.333333333333 1:0.25 2:0.2 8:0.166666666667 5:0.142857142857 3:0.125
3:1.0 7:0.5 1:0.333333333333 6:0.25 4:0.2 8:0.166666666667 2:0.142857142857 5:0.125
8:1.0 7:0.5 4:0.333333333333 6:0.25 2:0.2 3:0.166666666667 5:0.142857142857 1:0.125
7:1.0 2:0.5 8:0.333333333333 4:0.25 6:0.2 5:0.166666666667 3:0.142857142857 1:0.125
7:1.0 4:0.5 6:0.333333333333 8:0.25 5:0.2 3:0.166666666667 1:0.142857142857 2:0.125
2:1.0 3:0.5 6:0.333333333333 7:0.25 4:0.2 5:0.166666666667 8:0.142857142857 1:0.125
6:1.0 4:0.5 7:0.333333333333 5:0.25 1:0.2 2:0.166666666667 8:0.142857142857 3:0.125
4:1.0 6:0.5 7:0.333333333333 8:0.25 3:0.2 2:0.166666666667 1:0.142857142857 5:0.125
8:1.0 6:0.5 4:0.333333333333 2:0.25 7:0.2 1:0.166666666667 5:0.142857142857 3:0.125
7:1.0 1:0.5 2:0.333333333333 6:0.25 4:0.2 8:0.166666666667 5:0.142857142857 3:0.125
8:1.0 2:0.5 6:0.333333333333 4:0.25 3:0.2 7:0.166666666667 5:0.142857142857 1:0.125
4:1.0 6:0.5 2:0.333333333333 5:0.25 7:0.2 8:0.166666666667 3:0.142857142857 1:0.125
8:1.0 2:0.5 4:0.333333333333 6:0.25 7:0.2 5:0.166666666667 1:0.142857142857 3:0.125
7:1.0 6:0.5 4:0.333333333333 2:0.25 3:0.2 8:0.166666666667 5:0.142857142857 1:0.125
1:1.0 6:0.5 4:0.333333333333 2:0.25 8:0.2 7:0.166666666667 3:0.142857142857 5:0.125
8:1.0 6:0.5 2:0.333333333333 4:0.25 7:0.2 3:0.166666666667 5:0.142857142857 1:0.125
6:1.0 4:0.5 7:0.333333333333 2:0.25 8:0.2 3:0.166666666667 1:0.142857142857 5:0.125
8:1.0 6:0.5 4:0.333333333333 2:0.25 7:0.2 3:0.166666666667 5:0.142857142857 1:0.125
4:1.0 6:0.5 8:0.333333333333 7:0.25 1:0.2 2:0.166666666667 3:0.142857142857 5:0.125
8:1.0 7:0.5 5:0.333333333333 2:0.25 4:0.2 6:0.166666666667 1:0.142857142857 3:0.125
4:1.0 6:0.5 7:0.333333333333 2:0.25 8:0.2 1:0.166666666667 3:0.142857142857 5:0.125
6:1.0 4:0.5 7:0.333333333333 3:0.25 8:0.2 2:0.166666666667 5:0.142857142857 1:0.125
4:1.0 6:0.5 7:0.333333333333 8:0.25 3:0.2 5:0.166666666667 2:0.142857142857 1:0.125
5:1.0 2:0.5 3:0.333333333333 4:0.25 6:0.2 1:0.166666666667 8:0.142857142857 7:0.125
2:1.0 3:0.5 6:0.333333333333 4:0.25 8:0.2 7:0.166666666667 1:0.142857142857 5:0.125
4:1.0 6:0.5 2:0.333333333333 8:0.25 5:0.2 7:0.166666666667 3:0.142857142857 1:0.125
4:1.0 6:0.5 8:0.333333333333 1:0.25 7:0.2 2:0.166666666667 3:0.142857142857 5:0.125
6:1.0 4:0.5 7:0.333333333333 3:0.25 8:0.2 2:0.166666666667 1:0.142857142857 5:0.125
6:1.0 4:0.5 2:0.333333333333 8:0.25 1:0.2 7:0.166666666667 3:0.142857142857 5:0.125
2:1.0 8:0.5 4:0.333333333333 6:0.25 7:0.2 5:0.166666666667 3:0.142857142857 1:0.125
2:1.0 6:0.5 4:0.333333333333 7:0.25 8:0.2 3:0.166666666667 5:0.142857142857 1:0.125
3:1.0 6:0.5 4:0.333333333333 8:0.25 5:0.2 7:0.166666666667 1:0.142857142857 2:0.125
8:1.0 7:0.5 4:0.333333333333 6:0.25 3:0.2 5:0.166666666667 1:0.142857142857 2:0.125
8:1.0 7:0.5 1:0.333333333333 6:0.25 4:0.2 5:0.166666666667 2:0.142857142857 3:0.125
7:1.0 8:0.5 3:0.333333333333 4:0.25 6:0.2 2:0.166666666667 1:0.142857142857 5:0.125
2:1.0 6:0.5 4:0.333333333333 7:0.25 8:0.2 3:0.166666666667 1:0.142857142857 5:0.125
3:1.0 7:0.5 8:0.333333333333 4:0.25 6:0.2 5:0.166666666667 2:0.142857142857 1:0.125
4:1.0 6:0.5 8:0.333333333333 2:0.25 7:0.2 3:0.166666666667 5:0.142857142857 1:0.125
7:1.0 4:0.5 6:0.333333333333 2:0.25 8:0.2 3:0.166666666667 1:0.142857142857 5:0.125
8:1.0 1:0.5 6:0.333333333333 4:0.25 3:0.2 2:0.166666666667 5:0.142857142857 7:0.125
2:1.0 7:0.5 4:0.333333333333 6:0.25 3:0.2 8:0.166666666667 5:0.142857142857 1:0.125
1:1.0 7:0.5 4:0.333333333333 6:0.25 5:0.2 2:0.166666666667 8:0.142857142857 3:0.125
4:1.0 6:0.5 7:0.333333333333 2:0.25 8:0.2 3:0.166666666667 1:0.142857142857 5:0.125
6:1.0 4:0.5 2:0.333333333333 7:0.25 8:0.2 1:0.166666666667 3:0.142857142857 5:0.125
7:1.0 4:0.5 6:0.333333333333 2:0.25 8:0.2 3:0.166666666667 1:0.142857142857 5:0.125
3:1.0 6:0.5 4:0.333333333333 2:0.25 7:0.2 1:0.166666666667 8:0.142857142857 5:0.125
5:1.0 6:0.5 4:0.333333333333 2:0.25 8:0.2 3:0.166666666667 7:0.142857142857 1:0.125
7:1.0 4:0.5 6:0.333333333333 5:0.25 1:0.2 2:0.166666666667 8:0.142857142857 3:0.125
8:1.0 6:0.5 4:0.333333333333 2:0.25 7:0.2 3:0.166666666667 1:0.142857142857 5:0.125
6:1.0 4:0.5 8:0.333333333333 5:0.25 7:0.2 3:0.166666666667 2:0.142857142857 1:0.125
2:1.0 4:0.5 5:0.333333333333 6:0.25 7:0.2 1:0.166666666667 8:0.142857142857 3:0.125
8:1.0 2:0.5 3:0.333333333333 7:0.25 1:0.2 4:0.166666666667 6:0.142857142857 5:0.125
2:1.0 8:0.5 4:0.333333333333 6:0.25 7:0.2 1:0.166666666667 5:0.142857142857 3:0.125
2:1.0 1:0.5 6:0.333333333333 4:0.25 7:0.2 5:0.166666666667 8:0.142857142857 3:0.125
7:1.0 8:0.5 4:0.333333333333 6:0.25 1:0.2 5:0.166666666667 3:0.142857142857 2:0.125
8:1.0 4:0.5 6:0.333333333333 3:0.25 7:0.2 1:0.166666666667 5:0.142857142857 2:0.125
8:1.0 2:0.5 3:0.333333333333 6:0.25 4:0.2 7:0.166666666667 1:0.142857142857 5:0.125
8:1.0 4:0.5 6:0.333333333333 2:0.25 7:0.2 3:0.166666666667 5:0.142857142857 1:0.125
2:1.0 4:0.5 6:0.333333333333 7:0.25 8:0.2 1:0.166666666667 3:0.142857142857 5:0.125
2:1.0 8:0.5 6:0.333333333333 4:0.25 1:0.2 3:0.166666666667 5:0.142857142857 7:0.125
8:1.0 2:0.5 4:0.333333333333 6:0.25 3:0.2 7:0.166666666667 5:0.142857142857 1:0.125
2:1.0 3:0.5 4:0.333333333333 6:0.25 1:0.2 5:0.166666666667 7:0.142857142857 8:0.125
1:1.0 6:0.5 4:0.333333333333 2:0.25 7:0.2 3:0.166666666667 8:0.142857142857 5:0.125
2:1.0 3:0.5 7:0.333333333333 6:0.25 4:0.2 8:0.166666666667 5:0.142857142857 1:0.125
6:1.0 4:0.5 2:0.333333333333 8:0.25 3:0.2 1:0.166666666667 7:0.142857142857 5:0.125
6:1.0 4:0.5 8:0.333333333333 3:0.25 7:0.2 2:0.166666666667 1:0.142857142857 5:0.125
8:1.0 6:0.5 4:0.333333333333 5:0.25 7:0.2 1:0.166666666667 3:0.142857142857 2:0.125
2:1.0 7:0.5 4:0.333333333333 6:0.25 8:0.2 1:0.166666666667 3:0.142857142857 5:0.125
5:1.0 6:0.5 4:0.333333333333 2:0.25 7:0.2 8:0.166666666667 1:0.142857142857 3:0.125
4:1.0 6:0.5 8:0.333333333333 2:0.25 5:0.2 3:0.166666666667 1:0.142857142857 7:0.125
8:1.0 4:0.5 6:0.333333333333 1:0.25 7:0.2 2:0.166666666667 3:0.142857142857 5:0.125
4:1.0 6:0.5 8:0.333333333333 7:0.25 1:0.2 2:0.166666666667 5:0.142857142857 3:0.125
1:1.0 7:0.5 2:0.333333333333 8:0.25 6:0.2 4:0.166666666667 5:0.142857142857 3:0.125
4:1.0 6:0.5 8:0.333333333333 2:0.25 3:0.2 7:0.166666666667 5:0.142857142857 1:0.125
8:1.0 7:0.5 4:0.333333333333 6:0.25 5:0.2 3:0.166666666667 1:0.142857142857 2:0.125
8:1.0 2:0.5 6:0.333333333333 4:0.25 7:0.2 1:0.166666666667 3:0.142857142857 5:0.125
8:1.0 6:0.5 4:0.333333333333 7:0.25 3:0.2 2:0.166666666667 5:0.142857142857 1:0.125
7:1.0 8:0.5 5:0.333333333333 4:0.25 6:0.2 2:0.166666666667 3:0.142857142857 1:0.125
2:1.0 4:0.5 6:0.333333333333 8:0.25 7:0.2 5:0.166666666667 1:0.142857142857 3:0.125
2:1.0 6:0.5 4:0.333333333333 3:0.25 5:0.2 8:0.166666666667 1:0.142857142857 7:0.125
3:1.0 4:0.5 6:0.333333333333 8:0.25 2:0.2 7:0.166666666667 5:0.142857142857 1:0.125
2:1.0 6:0.5 4:0.333333333333 5:0.25 8:0.2 1:0.166666666667 3:0.142857142857 7:0.125
7:1.0 4:0.5 6:0.333333333333 8:0.25 2:0.2 5:0.166666666667 3:0.142857142857 1:0.125
5:1.0 3:0.5 2:0.333333333333 6:0.25 4:0.2 7:0.166666666667 8:0.142857142857 1:0.125
4:1.0 6:0.5 2:0.333333333333 3:0.25 8:0.2 7:0.166666666667 1:0.142857142857 5:0.125
7:1.0 2:0.5 4:0.333333333333 8:0.25 6:0.2 3:0.166666666667 5:0.142857142857 1:0.125
4:1.0 6:0.5 7:0.333333333333 8:0.25 2:0.2 5:0.166666666667 3:0.142857142857 1:0.125
5:1.0 7:0.5 6:0.333333333333 4:0.25 8:0.2 2:0.166666666667 3:0.142857142857 1:0.125
2:1.0 7:0.5 6:0.333333333333 4:0.25 8:0.2 1:0.166666666667 3:0.142857142857 5:0.125
7:1.0 2:0.5 8:0.333333333333 4:0.25 6:0.2 5:0.166666666667 1:0.142857142857 3:0.125
5:1.0 4:0.5 6:0.333333333333 8:0.25 7:0.2 2:0.166666666667 3:0.142857142857 1:0.125
4:1.0 6:0.5 2:0.333333333333 8:0.25 7:0.2 5:0.166666666667 3:0.142857142857 1:0.125
6:1.0 4:0.5 2:0.333333333333 8:0.25 3:0.2 7:0.166666666667 1:0.142857142857 5:0.125
7:1.0 3:0.5 2:0.333333333333 4:0.25 6:0.2 1:0.166666666667 5:0.142857142857 8:0.125
4:1.0 6:0.5 7:0.333333333333 5:0.25 8:0.2 2:0.166666666667 3:0.142857142857 1:0.125
7:1.0 1:0.5 6:0.333333333333 4:0.25 8:0.2 3:0.166666666667 5:0.142857142857 2:0.125
4:1.0 6:0.5 7:0.333333333333 2:0.25 8:0.2 5:0.166666666667 3:0.142857142857 1:0.125
1:1.0 8:0.5 6:0.333333333333 4:0.25 2:0.2 7:0.166666666667 5:0.142857142857 3:0.125
4:1.0 6:0.5 2:0.333333333333 8:0.25 5:0.2 3:0.166666666667 1:0.142857142857 7:0.125
8:1.0 5:0.5 1:0.333333333333 6:0.25 4:0.2 7:0.166666666667 3:0.142857142857 2:0.125
8:1.0 6:0.5 4:0.333333333333 2:0.25 5:0.2 7:0.166666666667 3:0.142857142857 1:0.125
7:1.0 6:0.5 4:0.333333333333 3:0.25 2:0.2 8:0.166666666667 5:0.142857142857 1:0.125
4:1.0 6:0.5 7:0.333333333333 8:0.25 2:0.2 1:0.166666666667 3:0.142857142857 5:0.125
7:1.0 2:0.5 6:0.333333333333 4:0.25 3:0.2 8:0.166666666667 5:0.142857142857 1:0.125
5:1.0 7:0.5 8:0.333333333333 6:0.25 4:0.2 2:0.166666666667 3:0.142857142857 1:0.125
4:1.0 6:0.5 2:0.333333333333 8:0.25 5:0.2 1:0.166666666667 3:0.142857142857 7:0.125
5:1.0 8:0.5 7:0.333333333333 2:0.25 4:0.2 6:0.166666666667 1:0.142857142857 3:0.125
8:1.0 2:0.5 4:0.333333333333 6:0.25 3:0.2 1:0.166666666667 5:0.142857142857 7:0.125
8:1.0 6:0.5 4:0.333333333333 2:0.25 7:0.2 3:0.166666666667 5:0.142857142857 1:0.125
7:1.0 6:0.5 4:0.333333333333 8:0.25 3:0.2 2:0.166666666667 1:0.142857142857 5:0.125
8:1.0 4:0.5 6:0.333333333333 7:0.25 5:0.2 2:0.166666666667 3:0.142857142857 1:0.125
3:1.0 4:0.5 6:0.333333333333 8:0.25 2:0.2 7:0.166666666667 5:0.142857142857 1:0.125
7:1.0 2:0.5 6:0.333333333333 4:0.25 1:0.2 8:0.166666666667 5:0.142857142857 3:0.125
6:1.0 4:0.5 3:0.333333333333 7:0.25 2:0.2 1:0.166666666667 8:0.142857142857 5:0.125
3:1.0 2:0.5 4:0.333333333333 6:0.25 8:0.2 5:0.166666666667 7:0.142857142857 1:0.125
2:1.0 7:0.5 5:0.333333333333 8:0.25 4:0.2 6:0.166666666667 1:0.142857142857 3:0.125
7:1.0 6:0.5 4:0.333333333333 2:0.25 8:0.2 5:0.166666666667 3:0.142857142857 1:0.125
1:1.0 3:0.5 6:0.333333333333 4:0.25 2:0.2 8:0.166666666667 7:0.142857142857 5:0.125
7:1.0 3:0.5 5:0.333333333333 8:0.25 6:0.2 4:0.166666666667 2:0.142857142857 1:0.125
4:1.0 8:0.5 3:0.333333333333 1:0.25 6:0.2 2:0.166666666667 7:0.142857142857 5:0.125
8:1.0 5:0.5 6:0.333333333333 4:0.25 3:0.2 2:0.166666666667 7:0.142857142857 1:0.125
4:1.0 6:0.5 2:0.333333333333 8:0.25 3:0.2 7:0.166666666667 5:0.142857142857 1:0.125
7:1.0 2:0.5 3:0.333333333333 6:0.25 4:0.2 8:0.166666666667 5:0.142857142857 1:0.125
3:1.0 7:0.5 4:0.333333333333 6:0.25 8:0.2 2:0.166666666667 5:0.142857142857 1:0.125
7:1.0 4:0.5 6:0.333333333333 2:0.25 8:0.2 5:0.166666666667 3:0.142857142857 1:0.125
4:1.0 6:0.5 3:0.333333333333 2:0.25 5:0.2 8:0.166666666667 1:0.142857142857 7:0.125
4:1.0 6:0.5 8:0.333333333333 7:0.25 5:0.2 3:0.166666666667 2:0.142857142857 1:0.125
7:1.0 6:0.5 4:0.333333333333 8:0.25 3:0.2 2:0.166666666667 5:0.142857142857 1:0.125
7:1.0 8:0.5 2:0.333333333333 4:0.25 6:0.2 3:0.166666666667 1:0.142857142857 5:0.125
3:1.0 5:0.5 2:0.333333333333 4:0.25 6:0.2 1:0.166666666667 7:0.142857142857 8:0.125
4:1.0 6:0.5 8:0.333333333333 2:0.25 1:0.2 3:0.166666666667 7:0.142857142857 5:0.125
7:1.0 4:0.5 6:0.333333333333 3:0.25 8:0.2 2:0.166666666667 5:0.142857142857 1:0.125
4:1.0 6:0.5 8:0.333333333333 2:0.25 7:0.2 1:0.166666666667 5:0.142857142857 3:0.125
7:1.0 4:0.5 6:0.333333333333 8:0.25 3:0.2 2:0.166666666667 1:0.142857142857 5:0.125
8:1.0 5:0.5 3:0.333333333333 6:0.25 4:0.2 2:0.166666666667 1:0.142857142857 7:0.125
2:1.0 8:0.5 7:0.333333333333 4:0.25 6:0.2 5:0.166666666667 3:0.142857142857 1:0.125
8:1.0 7:0.5 2:0.333333333333 3:0.25 6:0.2 4:0.166666666667 1:0.142857142857 5:0.125
8:1.0 1:0.5 2:0.333333333333 4:0.25 6:0.2 7:0.166666666667 5:0.142857142857 3:0.125
7:1.0 2:0.5 6:0.333333333333 4:0.25 3:0.2 8:0.166666666667 1:0.142857142857 5:0.125
2:1.0 6:0.5 4:0.333333333333 8:0.25 3:0.2 7:0.166666666667 1:0.142857142857 5:0.125
8:1.0 5:0.5 6:0.333333333333 4:0.25 2:0.2 3:0.166666666667 7:0.142857142857 1:0.125
8:1.0 7:0.5 5:0.333333333333 4:0.25 6:0.2 2:0.166666666667 1:0.142857142857 3:0.125
4:1.0 6:0.5 8:0.333333333333 7:0.25 2:0.2 3:0.166666666667 5:0.142857142857 1:0.125
4:1.0 7:0.5 6:0.333333333333 2:0.25 5:0.2 8:0.166666666667 1:0.142857142857 3:0.125
6:1.0 8:0.5 2:0.333333333333 7:0.25 5:0.2 4:0.166666666667 3:0.142857142857 1:0.125
6:1.0 4:0.5 7:0.333333333333 5:0.25 8:0.2 2:0.166666666667 3:0.142857142857 1:0.125
1:1.0 2:0.5 3:0.333333333333 4:0.25 5:0.2 6:0.166666666667 7:0.142857142857 8:0.125
6:1.0 4:0.5 7:0.333333333333 8:0.25 3:0.2 5:0.166666666667 1:0.142857142857 2:0.125
1:1.0 2:0.5 3:0.333333333333 4:0.25 5:0.2 6:0.166666666667 7:0.142857142857 8:0.125
1:1.0 2:0.5 3:0.333333333333 4:0.25 5:0.2 6:0.166666666667 7:0.142857142857 8:0.125
8:1.0 4:0.5 6:0.333333333333 1:0.25 7:0.2 2:0.166666666667 5:0.142857142857 3:0.125
7:1.0 2:0.5 4:0.333333333333 6:0.25 8:0.2 3:0.166666666667 5:0.142857142857 1:0.125
7:1.0 8:0.5 2:0.333333333333 4:0.25 6:0.2 5:0.166666666667 3:0.142857142857 1:0.125
6:1.0 4:0.5 7:0.333333333333 5:0.25 1:0.2 2:0.166666666667 8:0.142857142857 3:0.125
7:1.0 3:0.5 8:0.333333333333 6:0.25 4:0.2 2:0.166666666667 5:0.142857142857 1:0.125
6:1.0 4:0.5 7:0.333333333333 2:0.25 8:0.2 3:0.166666666667 1:0.142857142857 5:0.125
7:1.0 6:0.5 4:0.333333333333 8:0.25 1:0.2 2:0.166666666667 5:0.142857142857 3:0.125
8:1.0 6:0.5 4:0.333333333333 7:0.25 2:0.2 3:0.166666666667 5:0.142857142857 1:0.125
8:1.0 7:0.5 2:0.333333333333 4:0.25 3:0.2 6:0.166666666667 1:0.142857142857 5:0.125
8:1.0 4:0.5 6:0.333333333333 7:0.25 2:0.2 5:0.166666666667 3:0.142857142857 1:0.125
8:1.0 7:0.5 6:0.333333333333 4:0.25 2:0.2 3:0.166666666667 5:0.142857142857 1:0.125
2:1.0 4:0.5 6:0.333333333333 3:0.25 8:0.2 7:0.166666666667 1:0.142857142857 5:0.125
8:1.0 2:0.5 7:0.333333333333 4:0.25 6:0.2 1:0.166666666667 5:0.142857142857 3:0.125
8:1.0 4:0.5 6:0.333333333333 2:0.25 7:0.2 3:0.166666666667 1:0.142857142857 5:0.125
7:1.0 4:0.5 6:0.333333333333 8:0.25 2:0.2 3:0.166666666667 1:0.142857142857 5:0.125
8:1.0 6:0.5 4:0.333333333333 2:0.25 1:0.2 3:0.166666666667 7:0.142857142857 5:0.125
2:1.0 7:0.5 4:0.333333333333 6:0.25 5:0.2 3:0.166666666667 8:0.142857142857 1:0.125
4:1.0 6:0.5 2:0.333333333333 8:0.25 7:0.2 3:0.166666666667 5:0.142857142857 1:0.125
2:1.0 7:0.5 6:0.333333333333 4:0.25 1:0.2 3:0.166666666667 5:0.142857142857 8:0.125
7:1.0 6:0.5 4:0.333333333333 2:0.25 8:0.2 3:0.166666666667 5:0.142857142857 1:0.125
3:1.0 7:0.5 2:0.333333333333 8:0.25 4:0.2 6:0.166666666667 1:0.142857142857 5:0.125
7:1.0 4:0.5 6:0.333333333333 8:0.25 5:0.2 3:0.166666666667 2:0.142857142857 1:0.125
4:1.0 7:0.5 6:0.333333333333 2:0.25 8:0.2 5:0.166666666667 3:0.142857142857 1:0.125
4:1.0 6:0.5 2:0.333333333333 8:0.25 3:0.2 1:0.166666666667 5:0.142857142857 7:0.125
5:1.0 8:0.5 7:0.333333333333 6:0.25 4:0.2 1:0.166666666667 3:0.142857142857 2:0.125
6:1.0 4:0.5 8:0.333333333333 2:0.25 7:0.2 3:0.166666666667 1:0.142857142857 5:0.125
5:1.0 7:0.5 6:0.333333333333 4:0.25 8:0.2 2:0.166666666667 1:0.142857142857 3:0.125
3:1.0 6:0.5 7:0.333333333333 4:0.25 2:0.2 1:0.166666666667 8:0.142857142857 5:0.125
8:1.0 7:0.5 6:0.333333333333 4:0.25 5:0.2 2:0.166666666667 1:0.142857142857 3:0.125
2:1.0 3:0.5 1:0.333333333333 4:0.25 6:0.2 7:0.166666666667 8:0.142857142857 5:0.125
2:1.0 1:0.5 7:0.333333333333 6:0.25 4:0.2 5:0.166666666667 8:0.142857142857 3:0.125
8:1.0 7:0.5 4:0.333333333333 6:0.25 2:0.2 3:0.166666666667 5:0.142857142857 1:0.125
4:1.0 6:0.5 2:0.333333333333 8:0.25 5:0.2 3:0.166666666667 1:0.142857142857 7:0.125
7:1.0 6:0.5 4:0.333333333333 3:0.25 8:0.2 2:0.166666666667 1:0.142857142857 5:0.125
8:1.0 1:0.5 5:0.333333333333 6:0.25 4:0.2 7:0.166666666667 3:0.142857142857 2:0.125
6:1.0 4:0.5 8:0.333333333333 2:0.25 7:0.2 3:0.166666666667 1:0.142857142857 5:0.125
4:1.0 6:0.5 8:0.333333333333 2:0.25 5:0.2 3:0.166666666667 1:0.142857142857 7:0.125
4:1.0 6:0.5 7:0.333333333333 2:0.25 8:0.2 3:0.166666666667 5:0.142857142857 1:0.125
2:1.0 7:0.5 4:0.333333333333 6:0.25 8:0.2 3:0.166666666667 5:0.142857142857 1:0.125
4:1.0 6:0.5 7:0.333333333333 8:0.25 2:0.2 3:0.166666666667 5:0.142857142857 1:0.125
1:1.0 2:0.5 3:0.333333333333 4:0.25 5:0.2 6:0.166666666667 7:0.142857142857 8:0.125
7:1.0 6:0.5 4:0.333333333333 5:0.25 2:0.2 1:0.166666666667 8:0.142857142857 3:0.125
1:1.0 6:0.5 4:0.333333333333 8:0.25 7:0.2 5:0.166666666667 2:0.142857142857 3:0.125
1:1.0 2:0.5 6:0.333333333333 4:0.25 8:0.2 7:0.166666666667 5:0.142857142857 3:0.125
6:1.0 4:0.5 2:0.333333333333 1:0.25 7:0.2 5:0.166666666667 3:0.142857142857 8:0.125
2:1.0 4:0.5 6:0.333333333333 7:0.25 8:0.2 3:0.166666666667 5:0.142857142857 1:0.125
4:1.0 6:0.5 8:0.333333333333 2:0.25 7:0.2 1:0.166666666667 3:0.142857142857 5:0.125
8:1.0 2:0.5 7:0.333333333333 6:0.25 4:0.2 3:0.166666666667 1:0.142857142857 5:0.125
4:1.0 6:0.5 5:0.333333333333 2:0.25 8:0.2 7:0.166666666667 3:0.142857142857 1:0.125
3:1.0 7:0.5 8:0.333333333333 4:0.25 6:0.2 2:0.166666666667 5:0.142857142857 1:0.125
2:1.0 6:0.5 4:0.333333333333 5:0.25 3:0.2 7:0.166666666667 1:0.142857142857 8:0.125
2:1.0 4:0.5 6:0.333333333333 7:0.25 8:0.2 1:0.166666666667 3:0.142857142857 5:0.125
7:1.0 4:0.5 6:0.333333333333 8:0.25 2:0.2 1:0.166666666667 5:0.142857142857 3:0.125
6:1.0 4:0.5 7:0.333333333333 2:0.25 1:0.2 5:0.166666666667 3:0.142857142857 8:0.125
4:1.0 6:0.5 7:0.333333333333 8:0.25 2:0.2 1:0.166666666667 3:0.142857142857 5:0.125
6:1.0 4:0.5 2:0.333333333333 5:0.25 8:0.2 3:0.166666666667 1:0.142857142857 7:0.125
2:1.0 1:0.5 6:0.333333333333 4:0.25 7:0.2 5:0.166666666667 3:0.142857142857 8:0.125
1:1.0 7:0.5 6:0.333333333333 4:0.25 2:0.2 3:0.166666666667 8:0.142857142857 5:0.125
7:1.0 8:0.5 4:0.333333333333 6:0.25 3:0.2 1:0.166666666667 2:0.142857142857 5:0.125
3:1.0 2:0.5 4:0.333333333333 6:0.25 5:0.2 8:0.166666666667 7:0.142857142857 1:0.125
5:1.0 2:0.5 4:0.333333333333 6:0.25 3:0.2 7:0.166666666667 1:0.142857142857 8:0.125
2:1.0 8:0.5 6:0.333333333333 4:0.25 5:0.2 7:0.166666666667 3:0.142857142857 1:0.125
2:1.0 8:0.5 4:0.333333333333 7:0.25 6:0.2 3:0.166666666667 5:0.142857142857 1:0.125
7:1.0 4:0.5 6:0.333333333333 1:0.25 8:0.2 2:0.166666666667 3:0.142857142857 5:0.125
7:1.0 8:0.5 5:0.333333333333 6:0.25 4:0.2 2:0.166666666667 3:0.142857142857 1:0.125
7:1.0 3:0.5 6:0.333333333333 4:0.25 2:0.2 8:0.166666666667 1:0.142857142857 5:0.125
7:1.0 3:0.5 1:0.333333333333 6:0.25 4:0.2 8:0.166666666667 2:0.142857142857 5:0.125
8:1.0 5:0.5 1:0.333333333333 4:0.25 6:0.2 2:0.166666666667 7:0.142857142857 3:0.125
8:1.0 6:0.5 4:0.333333333333 5:0.25 2:0.2 7:0.166666666667 3:0.142857142857 1:0.125
2:1.0 6:0.5 4:0.333333333333 7:0.25 3:0.2 1:0.166666666667 5:0.142857142857 8:0.125
7:1.0 6:0.5 4:0.333333333333 2:0.25 3:0.2 1:0.166666666667 8:0.142857142857 5:0.125
4:1.0 6:0.5 2:0.333333333333 8:0.25 7:0.2 5:0.166666666667 3:0.142857142857 1:0.125
7:1.0 5:0.5 6:0.333333333333 4:0.25 8:0.2 3:0.166666666667 2:0.142857142857 1:0.125
5:1.0 2:0.5 4:0.333333333333 6:0.25 8:0.2 7:0.166666666667 3:0.142857142857 1:0.125
2:1.0 3:0.5 1:0.333333333333 4:0.25 6:0.2 7:0.166666666667 8:0.142857142857 5:0.125
4:1.0 6:0.5 2:0.333333333333 3:0.25 5:0.2 8:0.166666666667 7:0.142857142857 1:0.125
1:1.0 6:0.5 4:0.333333333333 7:0.25 2:0.2 8:0.166666666667 5:0.142857142857 3:0.125
8:1.0 5:0.5 3:0.333333333333 6:0.25 4:0.2 2:0.166666666667 1:0.142857142857 7:0.125
